adam_iter = 10000
bfgs_iter = 100000
Nf = 8000
N_increase = 1
save_path = ./data/2023_03_12_12_25_29
verbose = False
repeat = 1
num_layers = 8
num_neurons = 40
start_epoch = 0
dict_keys(['__header__', '__version__', '__globals__', 'x', 'y', 'p', 'vx', 'vy'])
epoch:   1459, lr: 1.000e-03, data_loss: 1.061e-01, pde_loss: 3.632e-05, cost: 3577.43
epoch:   1479, lr: 1.000e-03, data_loss: 1.055e-01, pde_loss: 3.106e-05, cost: 3626.38
epoch:   1499, lr: 1.000e-03, data_loss: 1.099e-01, pde_loss: 2.570e-05, cost: 3675.24
epoch:   1519, lr: 1.000e-03, data_loss: 1.146e-01, pde_loss: 5.574e-05, cost: 3724.49
epoch:   1539, lr: 1.000e-03, data_loss: 1.053e-01, pde_loss: 2.372e-05, cost: 3773.98
epoch:   1559, lr: 1.000e-03, data_loss: 1.053e-01, pde_loss: 4.689e-05, cost: 3822.47
epoch:   1579, lr: 1.000e-03, data_loss: 1.098e-01, pde_loss: 3.297e-05, cost: 3871.01
epoch:   1599, lr: 1.000e-03, data_loss: 1.067e-01, pde_loss: 2.198e-05, cost: 3920.28
epoch:   1619, lr: 1.000e-03, data_loss: 1.057e-01, pde_loss: 3.775e-05, cost: 3970.18
epoch:   1639, lr: 1.000e-03, data_loss: 1.040e-01, pde_loss: 1.829e-05, cost: 4019.19
epoch:   1659, lr: 1.000e-03, data_loss: 1.080e-01, pde_loss: 2.411e-05, cost: 4067.66
epoch:   1679, lr: 1.000e-03, data_loss: 1.091e-01, pde_loss: 2.035e-05, cost: 4116.92
epoch:   1699, lr: 1.000e-03, data_loss: 1.065e-01, pde_loss: 4.024e-05, cost: 4166.09
epoch:   1719, lr: 1.000e-03, data_loss: 1.075e-01, pde_loss: 1.576e-05, cost: 4215.19
epoch:   1739, lr: 1.000e-03, data_loss: 1.046e-01, pde_loss: 2.489e-05, cost: 4264.10
epoch:   1759, lr: 1.000e-03, data_loss: 1.050e-01, pde_loss: 5.467e-05, cost: 4313.39
epoch:   1779, lr: 1.000e-03, data_loss: 1.048e-01, pde_loss: 1.665e-05, cost: 4363.04
epoch:   1799, lr: 1.000e-03, data_loss: 1.047e-01, pde_loss: 2.934e-05, cost: 4412.27
epoch:   1819, lr: 1.000e-03, data_loss: 1.037e-01, pde_loss: 1.163e-04, cost: 4462.14
epoch:   1839, lr: 1.000e-03, data_loss: 1.073e-01, pde_loss: 2.051e-05, cost: 4511.29
epoch:   1859, lr: 1.000e-03, data_loss: 1.078e-01, pde_loss: 1.655e-05, cost: 4560.19
epoch:   1879, lr: 1.000e-03, data_loss: 1.036e-01, pde_loss: 9.801e-05, cost: 4611.08
epoch:   1899, lr: 1.000e-03, data_loss: 1.053e-01, pde_loss: 1.598e-05, cost: 5256.09
epoch:   1919, lr: 1.000e-03, data_loss: 1.050e-01, pde_loss: 1.731e-05, cost: 5305.66
epoch:   1939, lr: 1.000e-03, data_loss: 1.121e-01, pde_loss: 1.461e-05, cost: 5355.76
epoch:   1959, lr: 1.000e-03, data_loss: 1.042e-01, pde_loss: 1.746e-05, cost: 5405.20
epoch:   1979, lr: 1.000e-03, data_loss: 1.062e-01, pde_loss: 3.585e-05, cost: 7257.20
epoch:   1999, lr: 1.000e-03, data_loss: 1.049e-01, pde_loss: 1.775e-05, cost: 7491.09
epoch:   2019, lr: 1.000e-03, data_loss: 1.043e-01, pde_loss: 4.608e-05, cost: 7540.58
epoch:   2039, lr: 1.000e-03, data_loss: 1.053e-01, pde_loss: 2.011e-05, cost: 7589.36
epoch:   2059, lr: 1.000e-03, data_loss: 1.056e-01, pde_loss: 1.317e-05, cost: 7638.44
epoch:   2079, lr: 1.000e-03, data_loss: 1.083e-01, pde_loss: 4.371e-05, cost: 7689.08
epoch:   2099, lr: 1.000e-03, data_loss: 1.045e-01, pde_loss: 1.328e-05, cost: 7741.04
epoch:   2119, lr: 1.000e-03, data_loss: 1.042e-01, pde_loss: 6.537e-05, cost: 7790.17
epoch:   2139, lr: 1.000e-03, data_loss: 1.068e-01, pde_loss: 4.260e-05, cost: 7839.14
epoch:   2159, lr: 1.000e-03, data_loss: 1.042e-01, pde_loss: 5.512e-05, cost: 7888.00
epoch:   2179, lr: 1.000e-03, data_loss: 1.074e-01, pde_loss: 1.420e-05, cost: 7936.64
epoch:   2199, lr: 1.000e-03, data_loss: 1.069e-01, pde_loss: 1.572e-05, cost: 7985.11
epoch:   2219, lr: 1.000e-03, data_loss: 1.047e-01, pde_loss: 1.491e-05, cost: 8033.47
epoch:   2239, lr: 1.000e-03, data_loss: 1.087e-01, pde_loss: 3.250e-05, cost: 8081.84
epoch:   2259, lr: 1.000e-03, data_loss: 1.049e-01, pde_loss: 3.460e-05, cost: 8130.30
epoch:   2279, lr: 1.000e-03, data_loss: 1.056e-01, pde_loss: 4.618e-05, cost: 8179.02
epoch:   2299, lr: 1.000e-03, data_loss: 1.080e-01, pde_loss: 3.923e-05, cost: 8227.39
epoch:   2319, lr: 1.000e-03, data_loss: 1.065e-01, pde_loss: 1.481e-05, cost: 8276.66
epoch:   2339, lr: 1.000e-03, data_loss: 1.047e-01, pde_loss: 1.559e-05, cost: 8325.37
epoch:   2359, lr: 1.000e-03, data_loss: 1.052e-01, pde_loss: 1.447e-05, cost: 8374.19
epoch:   2379, lr: 1.000e-03, data_loss: 1.042e-01, pde_loss: 2.246e-05, cost: 8422.46
epoch:   2399, lr: 1.000e-03, data_loss: 1.040e-01, pde_loss: 3.271e-05, cost: 8471.26
epoch:   2419, lr: 1.000e-03, data_loss: 1.047e-01, pde_loss: 5.731e-05, cost: 8519.65
epoch:   2439, lr: 1.000e-03, data_loss: 1.100e-01, pde_loss: 1.496e-05, cost: 8568.32
epoch:   2459, lr: 1.000e-03, data_loss: 1.090e-01, pde_loss: 1.304e-05, cost: 8616.71
epoch:   2479, lr: 1.000e-03, data_loss: 1.057e-01, pde_loss: 1.554e-05, cost: 8665.21
epoch:   2499, lr: 1.000e-03, data_loss: 1.038e-01, pde_loss: 4.440e-05, cost: 8714.15
epoch:   2519, lr: 1.000e-03, data_loss: 1.045e-01, pde_loss: 2.183e-05, cost: 8762.55
epoch:   2539, lr: 1.000e-03, data_loss: 1.048e-01, pde_loss: 8.542e-06, cost: 8810.99
epoch:   2559, lr: 1.000e-03, data_loss: 1.068e-01, pde_loss: 1.221e-05, cost: 8859.32
epoch:   2579, lr: 1.000e-03, data_loss: 1.038e-01, pde_loss: 9.725e-06, cost: 8908.21
epoch:   2599, lr: 1.000e-03, data_loss: 1.030e-01, pde_loss: 5.480e-05, cost: 8956.52
epoch:   2619, lr: 1.000e-03, data_loss: 1.038e-01, pde_loss: 4.911e-05, cost: 9005.50
